Households,Longitude,Latitude,ViableDemand,Year of Electrification,NPV_grid,NPV_temp
135.86206896551724,-16.5278745717,15.7904079948,61.03515625,9,314913.6164646087,112451.76809718812
34.310344827586206,-16.510894045,15.7386227027,61.03515625,9,85709.60663015142,28398.352603223906
51.896551724137936,-16.4506226649,15.6715718758,61.03515625,9,128015.4326167902,42954.29212849446
51.896551724137936,-16.4466321816,15.6659731297,61.03515625,9,83511.81328502216,42954.29212849446
51.896551724137936,-16.5853575081,15.668259059,61.03515625,9,131087.24568054557,42954.29212849446
51.896551724137936,-16.5788013726,15.6657599301,61.03515625,9,83432.0639508142,42954.29212849446
51.896551724137936,-16.5713073433,15.6636715005,61.03515625,9,85275.74920758646,42954.29212849446
63.44827586206897,-16.5455110695,15.7545065101,61.03515625,9,164339.4908540451,52515.54652254471
29.82758620689655,-16.5824494912,15.6726573569,76.2939453125,10,44804.769703114085,30404.30372232771
3.793103448275862,-16.3855668379,15.7020539479,76.2939453125,10,11966.022995742605,3411.6199374771427
10.862068965517242,-16.5750241061,15.6847262284,76.2939453125,10,22871.86870127916,9769.638911866365
31.20689655172414,-16.5028032833,15.7791682283,76.2939453125,10,55656.45854033614,31810.283085209914
69.3103448275862,-16.5001649958,15.7713810458,76.2939453125,10,113385.97834437451,70650.46298483085
51.896551724137936,-16.3919766368,15.6477245047,76.2939453125,10,90341.14602402312,52899.97352844302
34.13793103448276,-16.4318918622,15.7540432664,76.2939453125,10,63380.33896525087,34797.989231334606
51.896551724137936,-16.424869975,15.7559545494,76.2939453125,10,88618.88747866232,52899.97352844302
27.586206896551726,-16.422524721,15.7594303959,76.2939453125,10,50989.74196950822,28119.587257644132
51.896551724137936,-16.550022082,15.743051851,76.2939453125,10,96784.86796740117,52899.97352844302
17.586206896551726,-16.5486337799,15.7472213611,76.2939453125,10,34130.909979251024,15817.510619212211
59.13793103448276,-16.5324402519,15.7789468152,76.2939453125,10,110569.25153533416,60281.3651835746
30.0,-16.5629671662,15.665051837,76.2939453125,10,63815.44347503656,30580.051142687982
